par_id,rmse,nse,r,bias,mae,nmae
p0070,5.76987241213862,-0.123927277856022,0.876754714762147,3.67920647709321,4.44317778830964,0.311789520415972
p0071,1.96536322943615,0.869595840289512,0.970749850805052,-1.2457644107425,1.74980295734597,0.150070135929553
p0072,2.42055175017969,0.802196242948448,0.955562318835518,-0.595475102685624,2.03254650868878,0.177028169960279
p0073,6.23487804426934,-0.312386390519908,0.869903919714161,4.13366559241706,4.81164252764613,0.33595005603187
p0074,5.7367176577012,-0.111047800227597,0.946515240221315,-5.4554117535545,5.45735519747235,0.421570507799428
p0075,3.44260882850187,0.5998883946234,0.933034942062019,0.454498830963665,2.91619437598736,0.226397012653118
p0076,4.6793755454633,0.260766577226833,0.90121469979489,2.0474345971564,3.81812622432859,0.276677559002697
p0077,3.81482879866985,0.508689668068936,0.916472889516165,2.34127045813586,2.79687709320695,0.202228208266551
p0078,4.88393903438058,0.194721210478218,0.898369132398474,3.49314154818325,3.69089484992101,0.260177318596239
p0079,3.26323459426409,0.640497110907429,0.952350895682391,-1.32100480252765,2.78120227488152,0.240230551522055
p0080,3.03304696171174,0.689426739464361,0.929355357816269,1.41844003159558,2.17804654028436,0.163908569620471
p0081,3.94791082915571,0.47381257902138,0.92005631883078,1.52007557661927,3.17940214849921,0.231210164616514
p0082,6.33429584304564,-0.354573198843545,0.863687707525331,4.22224511848341,4.92512631911532,0.347704023369225
p0083,7.79929314807835,-1.05360200943621,0.842507506248722,6.56671039494471,6.57096157977883,0.483534277677947
p0084,2.3947119516898,0.806396878371177,0.975892468915721,-2.07930860663507,2.08565205055292,0.164913731541197
p0085,3.00910771179333,0.694309980588752,0.948761862331989,-0.540094976303318,2.5972839178515,0.216905131654612
p0086,5.57474878109609,-0.0491954404496033,0.890208072306005,4.44503930489731,4.47391450236967,0.323240756996329
p0087,7.85754660972559,-1.08439356550587,0.8343087584765,6.82732240126382,6.83084410742496,0.518559423955397
p0088,4.29661049980675,0.376756492636472,0.911083554589517,1.87984600315956,3.42005763033175,0.247791326326923
p0089,3.06171263543708,0.683528471142907,0.980981628705862,-2.86765915323855,2.86765915323855,0.231441633545557
p0090,2.13482468881839,0.846138406677386,0.958667484686798,-1.46661942496051,1.64249841390205,0.12425559685308
p0091,4.14711327026357,0.419372519136123,0.916111427900438,2.11549620853081,3.19093096366509,0.226360484482248
p0092,3.88603984795399,0.490175982100231,0.918426694860056,2.14406009478673,2.86479551342812,0.204386278942929
p0093,2.66416508411738,0.760377245244404,0.978646506396837,-2.33928786097946,2.36492482780411,0.201315125959126
p0094,7.10173921170453,-0.702688616497202,0.84551666357278,4.75575636650869,5.66440123222749,0.406637480954172
p0095,4.0068779724585,0.457976613977104,0.919006072560981,0.795778483412322,3.4076727014218,0.260967194210272
p0096,4.38083999533391,0.352081209970331,0.908346386857333,2.81711522906793,3.23848793048973,0.227468416291042
p0097,2.91313364598372,0.713498690988916,0.939981157251235,0.202808120063191,2.43400546603476,0.197527797747892
p0098,3.56091349978491,0.5719163506138,0.925411953319123,1.20595563981043,2.84991260663507,0.214110941993809
p0099,6.15169214686236,-0.277600224426302,0.872889813909662,4.50035355450237,4.73834672985782,0.331415998164234
p0100,2.89639315132778,0.716782023280521,0.967814121725551,-1.98359658767773,2.47589832543444,0.221738298455196
p0101,5.51485392222209,-0.0267715312885977,0.883393468081533,2.96585127962085,4.4183663507109,0.315245213515761
p0102,3.87875851700817,0.492084721970993,0.975467293303606,-3.6189847835703,3.61965713744076,0.299765558528072
p0103,4.11415639574808,0.428564277717763,0.979021968326203,-3.95778264139021,3.95778264139021,0.315923373646029
p0104,2.29761046529845,0.821779115980499,0.949999298963887,-0.218064928909953,1.88681848341232,0.160822655556775
p0105,5.56495432971942,-0.0455119502126298,0.884789014566095,3.52510505529226,4.23291592417062,0.294789496555298
p0106,3.30346239460452,0.631578872973816,0.975018902886791,-3.0695197535545,3.0695197535545,0.239965874251457
p0107,5.86660679793437,-0.161929436666781,0.959871217197922,-5.66450128278041,5.66450128278041,0.439817483588415
p0108,3.75321501286707,0.524431936882206,0.921249334882241,1.43476161137441,3.00468925750395,0.223141063515003
p0109,6.68678871443102,-0.509527376572429,0.857381302784049,4.56580647709321,5.22277424960506,0.367947383888462
p0110,3.27840293452942,0.637147222570129,0.932502095999076,0.789831090047393,2.6764409478673,0.206316888832642
p0111,7.06863494048025,-0.686851681248015,0.850818124723104,5.04321952606635,5.50097213270142,0.386439675927179
p0112,7.49779236128338,-0.897896874121461,0.846279424978596,6.3149781042654,6.31967036334913,0.466910521750958
p0113,2.86742304609143,0.722419256312428,0.947679319608547,-0.318638483412322,2.45633579778831,0.205798256612704
p0114,2.77951096066386,0.739178988975794,0.934223154425965,0.770912511848341,2.15196078988942,0.172096117238614
p0115,5.25019419900313,0.0694139719644328,0.887323957183703,2.67565254344392,4.20251200631912,0.301891962195811
p0116,3.49398957454449,0.587855981086738,0.934944539267158,0.0630391149447077,3.02935582976303,0.239508260374398
p0117,7.08013185275779,-0.692343365992368,0.861026560415579,5.97593058451817,5.98220357030016,0.440337219427308
p0118,3.39096425777652,0.611802962825388,0.927015142130564,1.85026641390205,2.50078477093207,0.183473503286873
p0119,7.58845504917972,-0.944072799586594,0.838163748806796,5.33840180094787,5.94267668246446,0.420132082036923
p0120,2.49544469058383,0.789766612006972,0.95445182732987,-0.658410394944708,2.13425873617694,0.185580252662784
p0121,3.71689693449489,0.533591099372761,0.918044867708695,1.53959030015798,2.91087636650869,0.216568286004038
p0122,5.95162603332774,-0.195850974187455,0.959046866019806,-5.74851421800948,5.74851421800948,0.445620560072996
p0123,3.76523364913589,0.521381309089221,0.925139937529069,1.06693200631912,3.11873402843602,0.232129425866666
p0124,3.55038664013084,0.574443632204495,0.934152760157822,0.115558262243286,3.07946827804107,0.242313739031195
p0125,4.04700216065485,0.447066803341159,0.917359397227365,1.00330666666667,3.41252176935229,0.257271980036298
p0126,5.63988212221166,-0.0738555006966444,0.959894435977219,-5.42672513112164,5.42672513112164,0.423598475035848
p0127,3.49134737410409,0.588479082752897,0.937975798290272,-0.380826761453397,3.01294935229068,0.24379598777919
p0128,7.56818884938899,-0.933702742218427,0.848286584437436,6.21105292259084,6.21559889415482,0.449459911472592
p0129,2.83198910753499,0.729237229422186,0.947168739355788,-0.342768909952607,2.41995848341232,0.203051344174413
p0130,7.08880418841195,-0.696491751519745,0.858565269323879,5.75755431279621,5.76507949447077,0.413725535346892
